Program,Sex,Accepted
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
A,Male,Yes
