girl,age,num_people,jerib_cnt,sheep_cnt,treatment,test_score
0,10,10,2,0,1,77
0,8,11,1,30,1,78
0,11,8,1,0,1,97
0,6,7,0,20,1,57
0,7,6,0,10,1,80
0,8,10,0,10,1,96
0,6,10,0,10,1,93
0,8,12,10,30,1,88
0,8,9,0.5,10,1,93
0,7,6,0,10,1,77
0,10,7,1,0,1,81
0,7,8,2,3,1,74
0,10,10,0,0,1,95
0,7,10,0,0,1,68
0,10,5,0,10,1,78
0,11,7,1,10,1,77
0,8,7,1,10,1,61
0,11,6,2,5,1,78
0,8,5,1,5,1,66
0,8,8,0,0,1,85
0,8,6,0,4,1,85
0,9,7,0,4,1,96
0,10,12,3,5,1,80
0,7,12,3,5,1,60
0,6,4,0.5,35,1,72
0,10,6,0,2,1,77
0,9,5,0,0,1,59
0,8,5,0,0,1,82
0,6,8,3,0,1,59
0,10,8,3,0,1,78
0,7,10,1,5,1,63
0,6,11,1,10,1,74
0,10,10,0,20,1,82
0,8,10,0,20,1,83
0,6,10,0,20,1,60
0,11,6,1,3,1,97
0,8,6,1,3,1,71
0,6,10,1,10,1,76
0,7,18,0,0,1,82
0,10,7,0.5,7,1,76
0,7,9,2,11,1,77
0,10,16,1,10,1,73
0,8,6,1,3,1,60
0,10,10,1,6,1,77
0,6,10,1,6,1,61
0,6,12,0,7,1,63
0,11,12,0,7,1,85
0,8,12,0,7,1,67
0,10,9,3,0,1,74
0,7,9,1,3,1,68
0,10,9,1,3,1,81
0,6,11,1,10,1,65
0,9,11,1,10,1,94
0,11,10,2,10,1,84
0,10,8,1,10,1,96
0,10,7,0,0,1,93
0,11,7,2,20,1,97
0,6,8,2,10,1,63
0,8,7,1,0,1,81
0,6,9,0.5,0,1,89
0,7,7,0,6,1,60
0,10,8,0.5,6,1,72
0,11,8,0.5,6,1,83
0,8,7,1,2,1,81
0,11,7,1,20,1,94
0,9,7,1,20,1,69
0,8,5,0,15,1,66
0,7,9,1,10,1,57
0,6,9,1,10,1,57
0,9,14,5,40,1,96
0,11,14,5,40,1,85
0,7,14,5,40,1,63
0,11,9,0,0,1,88
0,9,9,0,0,1,85
0,7,5,3,7,1,57
0,9,6,0,0,1,71
0,11,12,1,10,1,89
0,9,12,1,10,1,82
0,6,12,1,10,1,60
0,10,3,2,10,1,97
0,8,7,3,3,1,74
0,9,7,2,10,1,82
0,11,7,2,10,1,93
0,7,7,2,10,1,70
0,8,7,4,15,1,91
0,10,7,4,15,1,94
0,6,7,4,15,1,69
0,10,4,0,0,1,85
0,11,5,2,5,1,87
0,8,8,0,10,1,75
0,7,8,1,10,1,68
0,11,8,1,10,1,68
0,6,15,10,60,1,65
0,9,15,10,60,1,77
0,10,9,1,10,1,66
0,7,12,1,10,1,57
0,11,12,1,10,1,90
0,7,8,1,10,1,60
0,7,6,1,4,1,63
0,9,15,1,10,1,66
0,9,15,0,10,1,93
0,7,8,1,10,1,65
0,7,10,0.5,4,1,77
0,9,8,0.5,6,1,68
0,8,8,0.5,6,1,75
0,11,8,0.5,6,1,92
0,11,15,0,0,1,88
0,9,8,0,10,1,94
0,8,8,0,10,1,85
0,11,8,0,10,1,97
0,7,9,1,10,1,85
