wage	exper	race	smsa_ind	region	education	wage/100
354.940002	45	nonblack	1	NE	belowCollege	3.54940002
370.369995	9	nonblack	1	NE	belowCollege	3.70369995
754.940002	46	nonblack	1	NE	belowCollege	7.54940002
593.539978	36	nonblack	1	NE	belowCollege	5.93539978
284.899994	51	nonblack	1	NE	belowCollege	2.84899994
561.130005	34	nonblack	1	NE	belowCollege	5.61130005
264.059998	0	nonblack	1	NE	belowCollege	2.64059998
474.829987	17	nonblack	1	NE	belowCollege	4.74829987
299.149994	42	nonblack	1	NE	belowCollege	2.99149994
244.880005	10	nonblack	1	NE	belowCollege	2.44880005
213.679993	40	nonblack	0	NE	belowCollege	2.13679993
669.280029	17	nonblack	0	NE	belowCollege	6.69280029
403.609985	42	nonblack	0	NE	belowCollege	4.03609985
403.609985	25	nonblack	0	NE	belowCollege	4.03609985
476.540009	15	nonblack	0	NE	belowCollege	4.76540009
1018.52002	4	nonblack	1	NE	belowCollege	10.1852002
546.059998	16	nonblack	1	NE	belowCollege	5.46059998
204.179993	6	nonblack	1	NE	belowCollege	2.04179993
1419.75	35	nonblack	1	NE	belowCollege	14.1975
208.5	4	nonblack	1	NE	belowCollege	2.085
750.23999	20	nonblack	0	NE	belowCollege	7.5023999
370.369995	36	nonblack	1	NE	belowCollege	3.70369995
510.450012	10	nonblack	1	NE	belowCollege	5.10450012
343.209992	10	nonblack	0	NE	belowCollege	3.43209992
795.349976	12	nonblack	0	NE	belowCollege	7.95349976
338.480011	17	nonblack	0	NE	belowCollege	3.38480011
997.150024	14	nonblack	1	NE	beyondCollege	9.97150024
593.539978	38	nonblack	1	NE	belowCollege	5.93539978
427.350006	47	nonblack	0	NE	belowCollege	4.27350006
522.320007	26	nonblack	0	NE	belowCollege	5.22320007
296.299988	3	nonblack	0	NE	belowCollege	2.96299988
783.479981	12	nonblack	0	NE	beyondCollege	7.83479981
427.350006	41	nonblack	0	NE	belowCollege	4.27350006
712.25	18	nonblack	1	NE	belowCollege	7.1225
641.030029	32	nonblack	0	NE	belowCollege	6.41030029
594.52002	18	nonblack	1	NE	belowCollege	5.9452002
1851.84998	14	nonblack	1	NE	beyondCollege	18.5184998
1210.82996	13	nonblack	1	NE	beyondCollege	12.1082996
835.710022	26	nonblack	1	NE	beyondCollege	8.35710022
1028.02002	12	nonblack	1	NE	beyondCollege	10.2802002
688.51001	5	nonblack	1	NE	beyondCollege	6.8851001
358.019989	1	nonblack	1	NE	belowCollege	3.58019989
197.529999	1	nonblack	1	NE	belowCollege	1.97529999
379.869995	8	nonblack	0	NE	belowCollege	3.79869995
432.100006	7	nonblack	0	NE	beyondCollege	4.32100006
189.929993	28	nonblack	0	NE	belowCollege	1.89929993
332.380005	2	nonblack	0	NE	belowCollege	3.32380005
474.829987	22	nonblack	1	NE	belowCollege	4.74829987
275.809998	2	nonblack	1	NE	belowCollege	2.75809998
356.130005	47	nonblack	0	NE	belowCollege	3.56130005
546.059998	24	nonblack	0	NE	belowCollege	5.46059998
444.059998	41	nonblack	0	NE	belowCollege	4.44059998
569.799988	36	nonblack	1	NE	belowCollege	5.69799988
555.559998	26	nonblack	0	NE	belowCollege	5.55559998
308.640015	11	nonblack	0	NE	belowCollege	3.08640015
237.419998	7	nonblack	0	NE	belowCollege	2.37419998
302.589996	4	nonblack	0	NE	belowCollege	3.02589996
262.299988	2	nonblack	0	NE	belowCollege	2.62299988
430.029999	40	nonblack	0	NE	belowCollege	4.30029999
441.26001	43	nonblack	0	NE	belowCollege	4.4126001
261.160004	43	nonblack	0	NE	belowCollege	2.61160004
237.419998	11	nonblack	0	NE	belowCollege	2.37419998
1610.31006	19	nonblack	0	NE	belowCollege	16.1031006
949.669983	17	nonblack	0	NE	beyondCollege	9.49669983
1020.89002	17	nonblack	0	NE	beyondCollege	10.2089002
688.51001	16	nonblack	0	NE	beyondCollege	6.8851001
759.729981	13	nonblack	1	NE	belowCollege	7.59729981
641.030029	16	nonblack	1	NE	belowCollege	6.41030029
379.869995	12	nonblack	1	NE	belowCollege	3.79869995
246.910004	18	nonblack	1	NE	belowCollege	2.46910004
496.51001	15	nonblack	1	NE	belowCollege	4.9651001
651.109985	33	nonblack	0	NE	belowCollege	6.51109985
352.730011	44	nonblack	0	NE	belowCollege	3.52730011
712.25	39	nonblack	0	NE	belowCollege	7.1225
493.829987	19	nonblack	0	NE	belowCollege	4.93829987
878.440002	16	nonblack	1	NE	beyondCollege	8.78440002
197.529999	8	nonblack	1	NE	belowCollege	1.97529999
284.899994	15	nonblack	0	NE	belowCollege	2.84899994
493.829987	6	nonblack	0	NE	belowCollege	4.93829987
807.219971	41	nonblack	0	NE	belowCollege	8.07219971
1044.63001	39	nonblack	0	NE	belowCollege	10.4463001
498.579987	10	nonblack	0	NE	belowCollege	4.98579987
261.160004	22	nonblack	0	NE	belowCollege	2.61160004
587.890015	14	nonblack	0	NE	beyondCollege	5.87890015
569.799988	29	nonblack	0	NE	belowCollege	5.69799988
227.919998	27	nonblack	0	NE	belowCollege	2.27919998
71.2300034	1	nonblack	0	NE	belowCollege	0.712300034
1685.66003	14	nonblack	1	NE	beyondCollege	16.8566003
949.669983	17	nonblack	1	NE	beyondCollege	9.49669983
166.190002	22	nonblack	1	NE	belowCollege	1.66190002
902.179993	16	nonblack	1	NE	belowCollege	9.02179993
427.350006	14	nonblack	1	NE	belowCollege	4.27350006
783.479981	25	nonblack	1	NE	belowCollege	7.83479981
688.51001	17	nonblack	0	NE	belowCollege	6.8851001
302.470001	28	nonblack	0	NE	belowCollege	3.02470001
617.280029	20	nonblack	0	NE	belowCollege	6.17280029
546.059998	9	nonblack	0	NE	belowCollege	5.46059998
782.900024	18	nonblack	0	NE	belowCollege	7.82900024
735.48999	37	nonblack	0	NE	belowCollege	7.3548999
664.77002	7	nonblack	0	NE	belowCollege	6.6477002
688.51001	36	nonblack	0	NE	belowCollege	6.8851001
637.710022	38	nonblack	0	NE	belowCollege	6.37710022
209.880005	26	nonblack	0	NE	belowCollege	2.09880005
269.440002	29	nonblack	0	NE	belowCollege	2.69440002
759.729981	43	nonblack	0	NE	belowCollege	7.59729981
338.320007	24	nonblack	0	NE	belowCollege	3.38320007
807.219971	37	nonblack	0	NE	belowCollege	8.07219971
332.380005	20	nonblack	0	NE	belowCollege	3.32380005
846.979981	15	nonblack	0	NE	beyondCollege	8.46979981
391.73999	14	nonblack	0	NE	belowCollege	3.9173999
378.089996	0	nonblack	0	NE	belowCollege	3.78089996
379.869995	12	nonblack	0	NE	belowCollege	3.79869995
256.410004	20	nonblack	0	NE	belowCollege	2.56410004
318	27	nonblack	0	NE	belowCollege	3.18
522.320007	17	nonblack	0	NE	belowCollege	5.22320007
284.899994	6	nonblack	0	NE	belowCollege	2.84899994
142.449997	11	nonblack	0	NE	belowCollege	1.42449997
432.100006	19	nonblack	1	NE	belowCollege	4.32100006
402.679993	47	nonblack	0	NE	belowCollege	4.02679993
474.359985	14	nonblack	0	NE	belowCollege	4.74359985
356.130005	8	nonblack	0	NE	belowCollege	3.56130005
186.449997	9	nonblack	1	NE	belowCollege	1.86449997
581.669983	24	nonblack	0	NE	beyondCollege	5.81669983
546.059998	19	nonblack	0	NE	belowCollege	5.46059998
189.929993	16	nonblack	0	NE	belowCollege	1.89929993
451.089996	3	nonblack	0	NE	belowCollege	4.51089996
284.899994	8	nonblack	0	NE	belowCollege	2.84899994
