GameNum,PlayerID,GroupID,Date,Level,Wave,Funds,Health,Location,TurretType,Upgrade,Medicine,Virus,Count,Shot,Destroyed
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,1,270,3,1,PillShooter,0,Med B,blue,5,3,3
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,1,270,3,1,PillShooter,0,Med B,blue,5,2,2
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,1,270,3,2,PillShooter,0,Med R,red,15,4,4
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,1,270,3,2,PillShooter,0,Med R,red,15,8,6
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,1,270,3,3,PillShooter,0,Med R,red,15,2,0
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,1,270,3,3,PillShooter,0,Med R,red,15,6,5
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,2,330,3,1,PillShooter,0,Med B,blue,10,8,6
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,2,330,3,1,PillShooter,0,Med B,blue,10,5,4
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,2,330,3,2,PillShooter,0,Med R,red,10,3,3
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,2,330,3,2,PillShooter,0,Med R,red,10,7,7
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,3,240,3,1,PillShooter,0,Med B,blue,25,9,9
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,3,240,3,1,PillShooter,0,Med B,blue,25,12,8
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,3,240,3,2,PillShooter,0,Med R,red,5,5,5
1,DefendersEpi,DefendersEpi,11/9/2019 20:22,1,3,240,3,4,PillShooter,0,Med B,blue,25,8,8
2,Ep,Test,11/11/2019 2:07,1,1,90,3,1,PillShooter,0,Med R,red,15,11,9
2,Ep,Test,11/11/2019 2:07,1,1,90,3,1,PillShooter,0,Med B,blue,5,6,5
2,Ep,Test,11/11/2019 2:07,1,1,90,3,2,PillShooter,0,Med R,red,15,8,6
2,Ep,Test,11/11/2019 2:07,1,2,85,3,1,PillShooter,0,Med R,red,10,4,3
2,Ep,Test,11/11/2019 2:07,1,2,130,3,1,PillShooter,0,Med B,red,10,2,2
2,Ep,Test,11/11/2019 2:07,1,2,130,3,1,PillShooter,0,Med B,blue,10,3,3
2,Ep,Test,11/11/2019 2:07,1,2,130,3,1,PillShooter,0,Med B,blue,10,7,7
2,Ep,Test,11/11/2019 2:07,1,2,130,3,2,PillShooter,0,Med R,red,10,5,3
2,Ep,Test,11/11/2019 2:07,1,2,130,3,3,PillShooter,0,Med R,red,10,2,2
2,Ep,Test,11/11/2019 2:07,1,3,220,3,1,PillShooter,0,Med B,blue,25,8,7
2,Ep,Test,11/11/2019 2:07,1,3,220,3,1,PillShooter,0,Med B,blue,25,13,9
2,Ep,Test,11/11/2019 2:07,1,3,220,3,2,PillShooter,0,Med R,red,5,5,5
2,Ep,Test,11/11/2019 2:07,1,3,220,3,2,PillShooter,0,Med B,blue,25,11,7
2,Ep,Test,11/11/2019 2:07,1,3,220,3,3,PillShooter,0,Med B,blue,25,2,2
3,test,test,11/11/2019 18:21,1,1,429,0,1,PillShooter,0,Med R,red,15,11,9
3,test,test,11/11/2019 18:21,1,1,429,0,1,PillShooter,0,Med B,blue,5,6,4
4,test,test,11/11/2019 18:22,1,1,270,3,1,PillShooter,0,Med R,red,15,11,10
4,test,test,11/11/2019 18:22,1,1,270,3,1,PillShooter,0,Med B,blue,5,6,4
4,test,test,11/11/2019 18:22,1,1,270,3,3,PillShooter,0,Med R,red,15,1,1
4,test,test,11/11/2019 18:22,1,1,270,3,2,PillShooter,0,Med R,red,15,6,4
4,test,test,11/11/2019 18:22,1,1,270,3,2,PillShooter,0,Med B,blue,5,1,1
4,test,test,11/11/2019 18:22,1,2,330,3,1,PillShooter,0,Med R,red,10,10,10
4,test,test,11/11/2019 18:22,1,2,330,3,1,PillShooter,0,Med B,blue,10,10,9
4,test,test,11/11/2019 18:22,1,2,330,3,2,PillShooter,0,Med B,blue,10,1,1
4,test,test,11/11/2019 18:22,1,3,400,3,1,PillShooter,0,Med R,red,5,5,5
4,test,test,11/11/2019 18:22,1,3,400,3,1,PillShooter,0,Med B,blue,25,15,14
4,test,test,11/11/2019 18:22,1,3,400,3,2,PillShooter,0,Med B,blue,25,5,3
4,test,test,11/11/2019 18:22,1,3,400,3,2,PillShooter,0,Med B,blue,25,10,8
5,RK,RK,11/11/2019 20:18,1,1,267,2,2,PillShooter,0,Med R,red,15,10,8
