Rating	HurrGender	Participant
3.5	male	1
4	female	1
4	male	1
4.5	female	1
7	female	1
4	male	1
1	male	1
6	female	1
6	female	1
3	male	1
2.5	male	2
3.5	female	2
2.5	male	2
7	female	2
6	female	2
2.5	male	2
1	male	2
4	female	2
1.5	female	2
3	male	2
2	male	3
7	female	3
4.5	male	3
6.5	female	3
4.5	female	3
4.5	male	3
4	male	3
5.5	female	3
5.5	female	3
2.5	male	3
4	male	4
5.5	female	4
3	male	4
5.5	female	4
6	female	4
5	male	4
1.5	male	4
3	female	4
6	female	4
3	male	4
3.5	male	5
6	female	5
3.5	male	5
5	female	5
4.5	female	5
2	male	5
1.5	male	5
2	female	5
7	female	5
4.5	male	5
5	male	6
4	female	6
1	male	6
6	female	6
5	female	6
4	male	6
3	male	6
3	female	6
7	female	6
2	male	6
2.5	male	7
7	female	7
3	male	7
1	female	7
4.5	female	7
3.5	male	7
1.5	male	7
2.5	female	7
5.5	female	7
1	male	7
1	male	8
6	female	8
5	male	8
7	female	8
7	female	8
3	male	8
5	male	8
2	female	8
4	female	8
3	male	8
5	male	9
4.5	female	9
5	male	9
4	female	9
4	female	9
2	male	9
2	male	9
5	female	9
7	female	9
2	male	9
5	male	10
7	female	10
5	male	10
6	female	10
7	female	10
5	male	10
4	male	10
6	female	10
6	female	10
5	male	10
4	male	11
4	female	11
4	male	11
3	female	11
6	female	11
2	male	11
1	male	11
5	female	11
4	female	11
3	male	11
4	male	12
7	female	12
3	male	12
7	female	12
6	female	12
5	male	12
2	male	12
5	female	12
1	female	12
4	male	12
4	male	13
6	female	13
3	male	13
4	female	13
5	female	13
3	male	13
3	male	13
5	female	13
5	female	13
4	male	13
3.5	male	14
5	female	14
1.5	male	14
7	female	14
3.5	female	14
4.5	male	14
2.5	male	14
6	female	14
3.5	female	14
3.5	male	14
2.5	male	15
7	female	15
4	male	15
5.5	female	15
1	female	15
4	male	15
4.5	male	15
6.5	female	15
4	female	15
3	male	15
5	male	16
7	female	16
5	male	16
6	female	16
4	female	16
3	male	16
6	male	16
6	female	16
7	female	16
4	male	16
5	male	17
5	female	17
4	male	17
7	female	17
3	female	17
6	male	17
2	male	17
4	female	17
6	female	17
1	male	17
3	male	18
6	female	18
4	male	18
2	female	18
5	female	18
4	male	18
2	male	18
4	female	18
7	female	18
4.5	male	18
2.5	male	19
5	female	19
5.5	male	19
5.5	female	19
3.5	female	19
4	male	19
5.5	male	19
4.5	female	19
6.5	female	19
1.5	male	19
4	male	20
5	female	20
3	male	20
6	female	20
4	female	20
4	male	20
3	male	20
6	female	20
5	female	20
6	male	20
2.5	male	21
6.5	female	21
3	male	21
4.5	female	21
5.5	female	21
2	male	21
6.5	male	21
5	female	21
4.5	female	21
5.5	male	21
3	male	22
6	female	22
2	male	22
2	female	22
6	female	22
5	male	22
3	male	22
7	female	22
4	female	22
5	male	22
2.5	male	23
3.5	female	23
3	male	23
4	female	23
2	female	23
4	male	23
2.5	male	23
4.5	female	23
6	female	23
3	male	23
4.5	male	24
5	female	24
2	male	24
3.5	female	24
5	female	24
4	male	24
3.5	male	24
4	female	24
5	female	24
2.5	male	24
1	male	25
5	female	25
6	male	25
6	female	25
5	female	25
3	male	25
3	male	25
4	female	25
4	female	25
5	male	25
4.5	male	26
3.5	female	26
1	male	26
3.5	female	26
5	female	26
3	male	26
1.5	male	26
3	female	26
6.5	female	26
4.5	male	26
4	male	27
4	female	27
5	male	27
3	female	27
5.5	female	27
2	male	27
5.5	male	27
6	female	27
6.5	female	27
5	male	27
3	male	28
5	female	28
6	male	28
3	female	28
3	female	28
2	male	28
1	male	28
4	female	28
4	female	28
2	male	28
3	male	29
5	female	29
4	male	29
6	female	29
5	female	29
4	male	29
3	male	29
1	female	29
4	female	29
2	male	29
2.5	male	30
4.5	female	30
4.5	male	30
6.5	female	30
3.5	female	30
5	male	30
2	male	30
4	female	30
6	female	30
5	male	30
4.5	male	31
4.5	female	31
4	male	31
6	female	31
3	female	31
4.5	male	31
2.5	male	31
5.5	female	31
3	female	31
1.5	male	31
5	male	32
6	female	32
5	male	32
5	female	32
5	female	32
4	male	32
4	male	32
5	female	32
4	female	32
3	male	32
2.5	male	33
6.5	female	33
1.5	male	33
2	female	33
1.5	female	33
3.5	male	33
5.5	male	33
4.5	female	33
5.5	female	33
5	male	33
2.5	male	34
7	female	34
3.5	male	34
6	female	34
4	female	34
5.5	male	34
1.5	male	34
2.5	female	34
3.5	female	34
6	male	34
4	male	35
7	female	35
6	male	35
6	female	35
5	female	35
6	male	35
4	male	35
7	female	35
3	female	35
4	male	35
2.5	male	36
6	female	36
6.5	male	36
