ID,Asking_Price,Bedrooms,Square_Feet,Baths,Garage,Stories,Year,Lot_Size,Age,Total_Rooms
2,154.9,3,1500,1.5,2,1,1988,NA,18,6
4,144.9,3,1336,1.5,1,2,1921,NA,85,6
6,141.9,3,1410,1.5,2,1,1966,11220,40,8
13,132,5,1711,2,2,2,1911,6072,95,NA
17,126.5,3,1380,2,1,2,1910,11600,96,7
19,123.9,3,1000,1,1,1,1969,NA,37,7
22,119.9,6,1338,2,2,2,1906,5808,100,9
24,117.9,3,1172,1.5,1,2,1941,NA,65,6
25,116.9,3,1100,1,2,2,1941,6403,65,7
27,114.9,2,900,1,1,1,1970,6970,36,5
33,104.9,3,814,1,0,2,1900,NA,106,5
36,97.9,2,695,1,1,2,1939,7788,67,6
42,126.5,3,1380,2,1,2,1910,11600,96,7
43,124.9,3,1189,1,1,2,1946,NA,60,7
49,119.9,3,1040,1.5,0,2,1971,NA,35,6
50,118.9,5,1417,2,0,2,1900,5676,106,9
52,114.9,2,804,1,0,1,1960,10890,46,7
55,114.5,2,642,1,1,2,1947,19536,59,3
57,109.9,3,1244,2,1,2,1911,7938,95,7
61,101,3,1128,2,0,2,1898,5544,108,NA
63,94.9,4,1158,1,1,2,1906,NA,100,7
64,79.9,2,980,1,0,1,1949,12660,57,4
