competitorname,chocolate,peanutyalmondy,sugarpercent,winpercent
100 Grand,1,0,0.73199999,66.971725
3 Musketeers,1,0,0.60399997,67.602936
One dime,0,0,0.011,32.261086
One quarter,0,0,0.011,46.116505
Air Heads,0,0,0.90600002,52.341465
Almond Joy,1,1,0.465,50.347546
Baby Ruth,1,1,0.60399997,56.914547
Boston Baked Beans,0,1,0.31299999,23.417824
Candy Corn,0,0,0.90600002,38.010963
Caramel Apple Pops,0,0,0.60399997,34.517681
Charleston Chew,1,0,0.60399997,38.975037
Chewey Lemonhead Fruit Mix,0,0,0.73199999,36.017628
Chiclets,0,0,0.046,24.524988
Dots,0,0,0.73199999,42.272076
Dum Dums,0,0,0.73199999,39.460556
Fruit Chews,0,0,0.127,43.088924
Fun Dip,0,0,0.73199999,39.185505
Gobstopper,0,0,0.90600002,46.783348
Haribo Gold Bears,0,0,0.465,57.11974
Haribo Happy Cola,0,0,0.465,34.158958
Haribo Sour Bears,0,0,0.465,51.41243
Haribo Twin Snakes,0,0,0.465,42.178772
HersheyÕs Kisses,1,0,0.127,55.375454
HersheyÕs Krackel,1,0,0.43000001,62.284481
HersheyÕs Milk Chocolate,1,0,0.43000001,56.490501
HersheyÕs Special Dark,1,0,0.43000001,59.236122
Jawbusters,0,0,0.093000002,28.127439
Junior Mints,1,0,0.197,57.21925
Kit Kat,1,0,0.31299999,76.7686
Laffy Taffy,0,0,0.22,41.389557
Lemonhead,0,0,0.046,39.141056
Lifesavers big ring gummies,0,0,0.26699999,52.911392
Peanut butter M&MÕs,1,1,0.82499999,71.46505
M&MÕs,1,0,0.82499999,66.574585
Mike & Ike,0,0,0.87199998,46.411716
Milk Duds,1,0,0.30199999,55.064072
Milky Way,1,0,0.60399997,73.099556
Milky Way Midnight,1,0,0.73199999,60.800701
Milky Way Simply Caramel,1,0,0.96499997,64.35334
Mounds,1,0,0.31299999,47.829754
Mr Good Bar,1,1,0.31299999,54.526451
Nerds,0,0,0.84799999,55.354046
Nestle Butterfinger,1,1,0.60399997,70.735641
Nestle Crunch,1,0,0.31299999,66.47068
Nik L Nip,0,0,0.197,22.445341
Now & Later,0,0,0.22,39.4468
Payday,0,1,0.465,46.296597
Peanut M&Ms,1,1,0.59299999,69.483788
Pixie Sticks,0,0,0.093000002,37.722336
Pop Rocks,0,0,0.60399997,41.265511
Red vines,0,0,0.58099997,37.348522
ReeseÕs Miniatures,1,1,0.034000002,81.866257
ReeseÕs Peanut Butter cup,1,1,0.72000003,84.18029
ReeseÕs pieces,1,1,0.40599999,73.43499
ReeseÕs stuffed with pieces,1,1,0.98799998,72.887901
Ring pop,0,0,0.73199999,35.290756
Rolo,1,0,0.86000001,65.716286
Root Beer Barrels,0,0,0.73199999,29.703691
Runts,0,0,0.87199998,42.849144
Sixlets,1,0,0.22,34.722
Skittles original,0,0,0.94099998,63.08514
Skittles wildberry,0,0,0.94099998,55.103695
Nestle Smarties,1,0,0.26699999,37.887188
Smarties candy,0,0,0.26699999,45.995827
Snickers,1,1,0.546,76.673782
Snickers Crisper,1,1,0.60399997,59.529251
Sour Patch Kids,0,0,0.068999998,59.863998
Sour Patch Tricksters,0,0,0.068999998,52.825947
Starburst,0,0,0.15099999,67.037628
Strawberry bon bons,0,0,0.56900001,34.578991
Sugar Babies,0,0,0.96499997,33.43755
Sugar Daddy,0,0,0.41800001,32.230995
Super Bubble,0,0,0.162,27.303865
Swedish Fish,0,0,0.60399997,54.861111
Tootsie Pop,1,0,0.60399997,48.982651
Tootsie Roll Juniors,1,0,0.31299999,43.068897
Tootsie Roll Midgies,1,0,0.17399999,45.736748
Tootsie Roll Snack Bars,1,0,0.465,49.653503
Trolli Sour Bites,0,0,0.31299999,47.173229
Twix,1,0,0.546,81.642914
Twizzlers,0,0,0.22,45.466282
Warheads,0,0,0.093000002,39.011898
WelchÕs Fruit Snacks,0,0,0.31299999,44.375519
WertherÕs Original Caramel,0,0,0.186,41.904308
Whoppers,1,0,0.87199998,49.524113
