Endorser	CorpCred	PI	Treatments	Aad	AB
FloJo	Low	4	FloLow	9	10
FloJo	Low	3	FloLow	8	10
FloJo	Low	7	FloLow	13	12
FloJo	Low	6	FloLow	11	12
FloJo	Low	3	FloLow	8	11
FloJo	Low	13	FloLow	18	16
FloJo	Low	16	FloLow	15	21
FloJo	Low	12	FloLow	18	12
FloJo	Low	15	FloLow	14	16
FloJo	Low	7	FloLow	12	14
FloJo	Low	15	FloLow	12	15
FloJo	Low	13	FloLow	15	18
FloJo	Low	12	FloLow	12	12
FloJo	Low	8	FloLow	18	14
FloJo	Low	3	FloLow	13	12
FloJo	Low	13	FloLow	14	18
FloJo	Low	3	FloLow	12	18
FloJo	Low	16	FloLow	14	16
FloJo	Low	15	FloLow	18	18
FloJo	Low	7	FloLow	14	12
FloJo	Low	14	FloLow	12	21
FloJo	Low	8	FloLow	13	10
FloJo	Low	9	FloLow	15	15
FloJo	Low	5	FloLow	12	10
FloJo	Low	16	FloLow	9	15
FloJo	Low	20	FloLow	15	19
FloJo	Low	11	FloLow	10	15
FloJo	Low	11	FloLow	12	14
FloJo	Low	12	FloLow	14	16
FloJo	Low	5	FloLow	12	9
FloJo	Low	18	FloLow	15	18
FloJo	Low	14	FloLow	12	21
FloJo	Low	16	FloLow	17	18
FloJo	Low	14	FloLow	11	11
FloJo	Low	12	FloLow	10	14
FloJo	Low	9	FloLow	15	15
FloJo	Low	14	FloLow	16	20
FloJo	Low	12	FloLow	9	12
FloJo	Low	3	FloLow	12	12
FloJo	Low	10	FloLow	12	9
Ros	High	13	RosHigh	9	18
FloJo	High	12	FloHigh	18	16
FloJo	High	12	FloHigh	18	18
FloJo	High	18	FloHigh	19	18
FloJo	High	16	FloHigh	16	19
FloJo	High	21	FloHigh	19	18
FloJo	High	18	FloHigh	15	19
FloJo	High	20	FloHigh	21	20
FloJo	High	14	FloHigh	21	21
FloJo	High	3	FloHigh	21	15
FloJo	High	13	FloHigh	15	17
FloJo	High	12	FloHigh	15	18
FloJo	High	19	FloHigh	19	18
FloJo	High	9	FloHigh	12	14
FloJo	High	15	FloHigh	18	14
FloJo	High	15	FloHigh	18	13
FloJo	High	15	FloHigh	18	18
FloJo	High	15	FloHigh	18	18
