participant,Facebook_mod,Instagram_mod,Facebook_orig,Instagram_orig
1,2.472,1.821,1.25401,0.962927
2,1.254,0.963,1.100017,0.600018
3,1.100,0.600,1.020859,0.9466
4,1.021,0.947,0.86421,0.725775
5,0.864,0.726,0.793354,0.816683
6,0.79335,0.81668,1.252108,1.134345
7,1.25211,1.13434,0.855568,0.861133
8,0.85557,0.86113,0.814002,1.022243
9,0.814,1.02224,1.932247,0.733227
10,1.93225,1.43333,1.520868,1.26431
11,1.52087,1.26431,0.956343,0.873783
12,0.95634,0.87378,1.036147,0.714603
13,1.03615,0.7146,1.311931,0.890012
14,1.31193,0.89001,0.881274,0.747237
15,0.88127,0.74724,1.075025,0.626684
16,1.07502,0.62668,1.011208,1.183359
17,1.01121,1.18336,1.066692,0.83335
18,1.06669,0.83335,2.47226,1.12057
,,,,
,,,,
,,,,
