HouseholdSize,Adults_D,H2O_Cost,Under17,Child1_D,Barcode_ID,Has_Barcode
12,2,0,0,NA,NA,No
3,0,0,0,NA,110101,Yes
NA,2,0,0,NA,110102,Yes
2,0,0,0,NA,110103,Yes
4,0,0,0,NA,110104,Yes
1,0,0,0,NA,110105,Yes
6,0,0,0,NA,110106,Yes
2,0,0,1,0,110107,Yes
3,0,0,2,5,110108,Yes
1,0,0,1,0,110109,Yes
3,0,0,0,NA,110110,Yes
3,0,0,1,0,110111,Yes
2,0,0,0,NA,110112,Yes
5,0,0,7,0,110113,Yes
2,0,0,0,NA,110114,Yes
2,2,15,0,NA,NA,No
9,2,20,0,NA,NA,No
2,2,20,0,NA,NA,No
2,2,15,0,NA,NA,No
2,2,20,0,NA,NA,No
2,0,0,2,0,125196,Yes
2,0,0,4,0,125197,Yes
2,0,0,3,0,125199,Yes
2,0,0,2,0,125200,Yes
3,0,0,3,0,125201,Yes
2,0,0,1,0,125202,Yes
3,0,0,0,NA,125203,Yes
2,0,0,1,0,125205,Yes
2,0,0,5,0,125198,Yes
2,0,0,2,0,100956,Yes
5,0,0,2,0,101561,Yes
5,0,0,2,0,100546,No
3,0,0,0,NA,10102,No
2,0,0,0,NA,10107,No
2,0,0,1,0,10114,No
3,0,0,2,0,100998,No
1,0,0,0,NA,101161,No
2,0,0,1,0,100934,Yes
2,0,0,1,0,100947,Yes
1,0,0,0,NA,100966,Yes
3,0,0,1,0,100974,Yes
2,0,0,2,0,100975,Yes
3,0,0,1,0,100976,Yes
1,0,0,0,NA,100977,Yes
2,0,0,3,0,100978,Yes
5,0,0,1,0,100979,Yes
1,0,0,0,NA,100980,Yes
2,0,0,2,0,100981,Yes
2,0,0,4,0,100982,Yes
1,0,0,0,NA,100983,Yes
2,0,0,0,NA,100984,Yes
2,0,0,0,NA,100985,Yes
2,0,0,2,0,100987,Yes
3,0,0,3,0,100988,Yes
3,0,0,3,0,100989,Yes
2,2,0,0,NA,100990,Yes
2,0,0,0,NA,100991,Yes
3,0,0,NA,NA,100992,Yes
3,0,0,1,0,100993,Yes
2,0,0,2,0,100994,Yes
2,0,0,3,0,100996,Yes
2,0,0,1,0,100997,Yes
2,0,0,3,0,100999,Yes
3,0,0,0,NA,101000,Yes
2,0,0,1,0,101001,Yes
2,0,0,5,0,101002,Yes
2,0,0,1,0,101003,Yes
2,0,0,1,NA,101004,Yes
2,0,0,0,NA,101005,Yes
2,0,0,1,0,101006,Yes
2,0,0,4,0,101007,Yes
2,0,0,1,0,101009,Yes
2,0,0,0,NA,101010,Yes
1,0,0,0,NA,101011,Yes
2,0,0,3,0,101012,Yes
2,0,0,4,0,101013,Yes
3,0,0,4,0,101015,Yes
2,0,0,3,0,101016,Yes
2,0,0,1,0,101017,Yes
2,0,0,1,0,101018,Yes
3,2,0,1,0,101019,Yes
2,0,0,1,0,101022,Yes
1,0,0,0,NA,101024,Yes
2,0,0,1,0,101029,Yes
2,0,0,0,NA,101034,Yes
3,0,0,3,0,101037,Yes
3,0,0,0,NA,101039,Yes
2,1,0,1,0,101046,Yes
3,0,0,3,0,101047,Yes
3,0,0,2,0,101062,Yes
3,0,0,3,0,101063,Yes
2,0,0,1,0,101066,Yes
2,0,0,4,0,101067,Yes
2,0,0,0,NA,101069,Yes
3,0,0,4,0,101073,Yes
2,0,0,0,NA,101086,Yes
2,0,0,1,0,101129,Yes
3,0,0,3,0,101140,Yes
3,0,0,1,0,101143,Yes
2,0,0,4,0,101151,Yes
2,0,0,0,NA,101154,Yes
3,0,0,3,0,101155,Yes
3,0,0,0,NA,101157,Yes
2,0,0,3,0,101158,Yes
1,0,0,0,NA,101159,Yes
4,0,0,1,0,101160,Yes
3,0,0,1,0,101163,Yes
3,0,0,0,NA,101165,Yes
1,0,0,0,NA,101166,Yes
4,0,0,1,0,101167,Yes
2,0,0,0,NA,101168,Yes
3,0,0,2,0,101169,Yes
2,0,0,2,0,101170,Yes
NA,0,0,0,NA,101171,Yes
1,1,0,1,0,101172,Yes
2,0,0,3,0,101174,Yes
2,0,0,3,0,101052,Yes
1,0,0,0,NA,125107,Yes
2,0,0,1,4,125109,Yes
2,NA,0,3,0,125108,Yes
2,0,0,3,0,100520,No
1,0,0,0,NA,101161,No
2,0,0,1,0,101567,No
3,0,0,2,0,101567,No
5,0,0,2,0,101519,Yes
2,0,0,2,0,101521,Yes
2,0,0,0,NA,101522,Yes
3,0,0,3,0,101524,Yes
4,0,0,7,0,101526,Yes
2,0,0,4,0,101527,Yes
3,0,0,0,NA,101529,Yes
2,0,0,0,NA,101530,Yes
