score,instrument,stimulus
5,no,auditory 
4,yes,auditory 
5,no,auditory 
8,no,auditory 
0,yes,auditory 
1,yes,auditory 
6,yes,auditory 
5,no,auditory 
3,yes,auditory 
4,no,auditory 
5,no,auditory 
6,yes,auditory 
3,no,auditory 
13,no,auditory 
9,no,auditory 
5,yes,auditory 
3,yes,auditory 
5,no,visual
3,yes,visual
6,no,visual
5,no,visual
22,yes,visual
5,no,visual
20,no,visual
5,no,visual
5,yes,visual
0,no,visual
0,yes,visual
0,no,visual
17,yes,visual
5,no,visual
5,no,visual
5,no,visual
5,no,visual 
7,yes,visual
5,yes,visual
2,no,visual
0,no,visual
8,no,visual
7,no,visual
3,yes,visual
5,yes,visual
8,yes,visual
15,yes,visual
