VitC1000	Brand	Temp	Water
2.41	GreatValue	refrig	Distilled
2.45	GreatValue	refrig	Distilled
2.45	GreatValue	room	Distilled
2.41	GreatValue	room	Distilled
2.38	GreatValue	refrig	Tap
2.37	GreatValue	refrig	Tap
2.32	GreatValue	room	Tap
2.29	GreatValue	room	Tap
2.4	Meijer	refrig	Distilled
2.42	Meijer	refrig	Distilled
1.99	Meijer	room	Distilled
1.98	Meijer	room	Distilled
2.34	Meijer	refrig	Tap
2.3	Meijer	refrig	Tap
1.86	Meijer	room	Tap
1.82	Meijer	room	Tap
2.01	MinuteMaid	refrig	Distilled
2.01	MinuteMaid	refrig	Distilled
2.01	MinuteMaid	room	Distilled
2	MinuteMaid	room	Distilled
1.96	MinuteMaid	refrig	Tap
1.95	MinuteMaid	refrig	Tap
1.89	MinuteMaid	room	Tap
1.92	MinuteMaid	room	Tap
