price	type	garage	Bedrooms	Bathrooms	Sqft	Sqft/1000	YrBuilt	SqftxAge	std.sqft	std.age	std.sqrtxstd.age	LSqft	Acerage	View	Pool	Number	Street	City
2.88	CONDO	A	2	1	892	0.892	1987	26.76	-1.198635551	-0.354259107	0.42462756	893	0.02	Y		1041	Southwood DR   #D	SLO
3.75	CONDO	D	2	2	984	0.984	1981	35.424	-1.045865011	-0.122064255	0.127662733	871	0.02	N	N	128	Fontana AV   #11	SLO
6.25	SFR	A	3	2	1547	1.547	1994	35.581	-0.110975733	-0.625153103	0.069376824	9601	0.22	Y		2588	Lawton AV  	SLO
6.49	SFR	D	3	2	1223	1.223	1925	112.516	-0.648993719	2.045087706	-1.327249076	4090	0.09	N	N	229	Branch   	SLO
4.33	SFR	A	2	2	1240	1.24	2016	1.24	-0.62076438	-1.47653423	0.916579856			Y		945	Humbert AV  	SLO
7.25	SFR	D	3	2	2076	2.076	2014	6.228	0.767454868	-1.399135946	-1.073773692	3999	0.09	N	N	374	Junipero WY  	SLO
7.43	SFR	D	3	2	2035	2.035	1974	87.505	0.699372345	0.148829741	0.104087405	10999	0.25	Y	N	6060	Gallant PL  	SLO
9.65	SFR	D	4	2	3253	3.253	1961	182.168	2.721921442	0.651918589	1.774471185	11182	0.26	N	N	554	Al-hil DR  	SLO
4.65	SFR	A	3	2	1414	1.414	2016	1.414	-0.331828795	-1.47653423	0.489956574			N	N	943	Humbert AV  	SLO
4.99	SFR	A	3	2	1490	1.49	2016	1.49	-0.205627045	-1.47653423	0.303615371			Y	N	953	Humbert AV  	SLO
8.9	SFR	D	4	2	2266	2.266	1959	131.428	1.082959243	0.729316873	0.789820448	10001	0.23	N	N	172	Highland DR  	SLO
8.75	SFR	D	4	2	2460	2.46	1983	83.64	1.405105815	-0.199462539	-0.280265973	11879	0.27	Y	N	2310	Sunset DR  	SLO
3.63	CONDO	A	2	2	1047	1.047	1987	31.41	-0.941250403	-0.354259107	0.333446528	1045	0.02			1033	Southwood DR   #U	SLO
5.45	SFR	A	2	2	1591	1.591	1986	49.321	-0.037911562	-0.315559965	0.011963371	3533	0.08	Y	N	1490	Descanso ST   #13	SLO
7.5	SFR	D	3	2	1800	1.8	1961	100.8	0.30914325	0.651918589	0.201536231	5898	0.14	Y	N	296	Marlene DR  	SLO
8.6	SFR	D	4	1	2875	2.875	1950	192.625	2.094233791	1.077609152	2.2567655	32234	0.74	Y	Y	1309	Richard ST  	SLO
7.75	SFR	D	3	1	1793	1.793	2016	1.793	0.297519405	-1.47653423	-0.439297586	4739	0.11	Y	N	2172	Florence   	SLO
4.7	SFR	A	3	2	1414	1.414	2016	1.414	-0.331828795	-1.47653423	0.489956574			Y		949	Humbert AV  	SLO
5.71	CONDO	D	2	2	1363	1.363	1989	38.164	-0.416516811	-0.431657392	0.17979256	1363	0.03	N	N	1095	Bluebell WY  	SLO
5.8	SFR	D	3	1	1458	1.458	1961	81.648	-0.258764624	0.651918589	-0.168693468	6098	0.14	Y	N	1142	Atascadero   	SLO
9.2	SFR	D	4	3	2600	2.6	1989	72.8	1.637582722	-0.431657392	-0.706874687	11566	0.27	Y		5640	Pinehurst WY  	SLO
4.16	SFR	D	3	1	1042	1.042	1963	56.268	-0.94955315	0.574520304	-0.545537565	7200	0.17	Y	N	1978	Oceanaire DR  	SLO
4.68	SFR	A	2	1	1389	1.389	1987	41.67	-0.373342529	-0.354259107	0.132259991	1999	0.05	Y	N	3275	Via Ensenada   	SLO
3.36	CONDO	A	2	2	966	0.966	1987	28.98	-1.0757549	-0.354259107	0.381095971	967	0.02	N	N	1029	Southwood DR   #C	SLO
6.51	SFR	D	3	1	1700	1.7	1968	83.3	0.143088316	0.381024593	0.054520167	7971	0.18	N		1625	Royal WY  	SLO
3.93	SFR	D	2	1	924	0.924	1947	64.68	-1.145497972	1.193706579	-1.367388465	2701	0.06	Y		660	South   	SLO
11.5	SFR	D	4	1	2500	2.5	2008	22.5	1.471527788	-1.166941093	-1.717186245	7405	0.17	Y	N	290	Broad ST  	SLO
12.64	SFR	D	4	3	3100	3.1	1985	99.2	2.467857393	-0.276860823	-0.683253029	12001	0.28	Y		219	Mission LN  	SLO
4.33	CONDO	A	2	1	1256	1.256	1980	46.472	-0.594195591	-0.083365112	0.049535182	1255	0.03	Y	N	2250	King CT   #64	SLO
8.16	SFR	D	3	2	2176	2.176	1976	89.216	0.933509802	0.071431456	0.066681965	6251	0.14	Y	N	2297	Boulevard Del Campo   	SLO
4.8	SFR	A	3	2	1494	1.494	2014	4.482	-0.198984848	-1.399135946	0.278406853	1738	0.04	N	N	860	Lawrence DR  	SLO
6.65	SFR	D	2	1	910	0.91	1949	61.88	-1.168745663	1.116308294	-1.304680478	5998	0.14			713	Meinecke AV  	SLO
