rating	claim	imagery
0	Concrete	Visual
5	Concrete	Visual
4	Concrete	Visual
3	Concrete	Visual
6	Concrete	Visual
8	Concrete	Visual
5	Concrete	Visual
6	Concrete	Visual
5	Concrete	Visual
8	Concrete	Visual
5	Concrete	Visual
4	Concrete	Visual
5	Concrete	Visual
8	Concrete	Visual
5	Concrete	Visual
6	Concrete	Visual
6	Concrete	Visual
7	Concrete	Visual
6	Concrete	Visual
6	Concrete	Visual
10	Concrete	Visual
4	Concrete	Visual
1	Concrete	Verbal
5	Concrete	Verbal
4	Concrete	Verbal
2	Concrete	Verbal
4	Concrete	Verbal
3	Concrete	Verbal
4	Concrete	Verbal
1	Concrete	Verbal
3	Concrete	Verbal
3	Concrete	Verbal
1	Concrete	Verbal
4	Concrete	Verbal
3	Concrete	Verbal
2	Concrete	Verbal
3	Concrete	Verbal
2	Concrete	Verbal
3	Concrete	Verbal
2	Concrete	Verbal
4	Concrete	Verbal
6	Concrete	Verbal
4	Concrete	Verbal
1	Concrete	Verbal
-1	Abstract	Visual
2	Abstract	Visual
3	Abstract	Visual
1	Abstract	Visual
4	Abstract	Visual
6	Abstract	Visual
1	Abstract	Visual
3	Abstract	Visual
4	Abstract	Visual
5	Abstract	Visual
4	Abstract	Visual
4	Abstract	Visual
2	Abstract	Visual
3	Abstract	Visual
2	Abstract	Visual
4	Abstract	Visual
2	Abstract	Visual
2	Abstract	Visual
4	Abstract	Visual
1	Abstract	Visual
5	Abstract	Visual
3	Abstract	Visual
3	Abstract	Verbal
4	Abstract	Verbal
4	Abstract	Verbal
4	Abstract	Verbal
2	Abstract	Verbal
0	Abstract	Verbal
3	Abstract	Verbal
-1	Abstract	Verbal
2	Abstract	Verbal
1	Abstract	Verbal
2	Abstract	Verbal
6	Abstract	Verbal
2	Abstract	Verbal
2	Abstract	Verbal
4	Abstract	Verbal
1	Abstract	Verbal
5	Abstract	Verbal
-2	Abstract	Verbal
5	Abstract	Verbal
2	Abstract	Verbal
6	Abstract	Verbal
3	Abstract	Verbal
