weight	horsepower	acceleration
heavy	high	12
heavy	high	11.5
heavy	high	11
heavy	high	12
heavy	high	10.5
heavy	high	10
heavy	high	9
heavy	high	8.5
heavy	high	10
heavy	high	8.5
heavy	high	10
heavy	high	8
heavy	high	9.5
heavy	high	10
light	low	15
heavy	low	15.5
light	low	15.5
light	low	16
light	low	14.5
light	low	20.5
light	low	17.5
light	low	14.5
light	low	17.5
light	high	12.5
light	low	15
heavy	high	14
heavy	high	15
heavy	high	13.5
heavy	high	18.5
light	low	14.5
light	low	15.5
light	low	14
light	high	13
heavy	high	15.5
heavy	high	15.5
heavy	low	15.5
heavy	high	15.5
heavy	high	12
heavy	high	11.5
heavy	high	13.5
heavy	high	13
heavy	high	11.5
heavy	high	12
heavy	high	12
heavy	high	13.5
light	low	19
heavy	high	15
heavy	low	14.5
light	low	14
light	low	14
light	low	19.5
light	low	14.5
light	low	19
light	low	18
light	low	19
light	low	20.5
light	low	15.5
light	low	17
light	low	23.5
light	low	19.5
light	low	16.5
heavy	high	12
heavy	high	12
heavy	high	13.5
heavy	high	13
heavy	high	11.5
heavy	high	11
heavy	high	13.5
heavy	high	13.5
heavy	high	12.5
light	low	13.5
heavy	high	12.5
heavy	high	14
heavy	high	16
heavy	high	14
heavy	high	14.5
light	low	18
heavy	low	19.5
light	low	18
light	low	16
light	low	17
light	low	14.5
light	low	15
light	low	16.5
heavy	high	13
heavy	high	11.5
heavy	high	13
heavy	high	14.5
heavy	high	12.5
heavy	high	11.5
heavy	high	12
heavy	high	13
heavy	high	14.5
heavy	high	11
heavy	high	11
heavy	high	11
heavy	high	16.5
heavy	high	18
heavy	high	16
heavy	low	16.5
heavy	low	16
light	low	21
heavy	high	14
heavy	high	12.5
heavy	high	13
heavy	high	12.5
light	high	15
light	low	19
light	low	19.5
light	low	16.5
light	low	13.5
light	low	18.5
light	high	14
light	low	15.5
heavy	high	13
heavy	high	9.5
light	low	19.5
light	low	15.5
light	low	14
heavy	high	15.5
heavy	high	11
light	high	14
heavy	high	13.5
heavy	high	11
heavy	low	16.5
heavy	high	16
heavy	high	17
light	low	19
light	low	16.5
light	low	21
light	low	17
heavy	high	17
heavy	high	18
heavy	high	16.5
heavy	high	14
heavy	high	14.5
heavy	high	13.5
heavy	high	16
heavy	high	15.5
light	low	16.5
light	low	15.5
light	low	14.5
light	low	16.5
light	low	19
light	low	14.5
light	low	15.5
light	low	14
light	low	15
light	low	15.5
light	low	16
heavy	low	16
heavy	high	16
heavy	low	21
heavy	low	19.5
heavy	high	11.5
heavy	high	14
heavy	high	14.5
heavy	high	13.5
heavy	high	21
heavy	high	18.5
heavy	high	19
heavy	low	19
heavy	high	15
heavy	high	13.5
heavy	high	12
light	low	16
light	low	17
heavy	high	16
light	low	18.5
light	low	13.5
light	low	16.5
light	low	17
heavy	low	14.5
light	low	14
heavy	low	17
light	low	15
heavy	low	17
heavy	low	14.5
light	high	13.5
light	low	17.5
light	low	15.5
light	low	16.9
light	low	14.9
light	low	17.7
light	low	15.3
heavy	high	13
heavy	high	13
heavy	high	13.9
heavy	high	12.8
heavy	high	15.4
heavy	high	14.5
heavy	low	17.6
heavy	low	17.6
light	low	22.2
light	low	22.1
light	low	14.2
light	low	17.4
heavy	high	17.7
heavy	low	21
heavy	high	16.2
heavy	low	17.8
light	low	12.2
light	low	17
light	low	16.4
light	low	13.6
heavy	high	15.7
heavy	high	13.2
heavy	low	21.9
heavy	high	15.5
heavy	high	16.7
heavy	high	12.1
heavy	high	12
heavy	high	15
heavy	high	14
light	low	18.5
light	low	14.8
light	low	18.6
light	low	15.5
light	low	16.8
heavy	high	12.5
heavy	high	19
heavy	high	13.7
heavy	high	14.9
heavy	high	16.4
heavy	high	16.9
heavy	high	17.7
heavy	low	19
heavy	high	11.1
heavy	high	11.4
heavy	high	12.2
heavy	high	14.5
light	low	14.5
light	low	16
light	low	18.2
light	low	15.8
light	low	17
light	low	15.9
light	low	16.4
light	low	14.1
heavy	low	14.5
light	high	12.8
light	high	13.5
light	low	21.5
light	low	14.4
light	low	19.4
light	low	18.6
light	low	16.4
heavy	high	15.5
heavy	high	13.2
heavy	high	12.8
heavy	high	19.2
heavy	low	18.2
heavy	low	15.8
light	low	15.4
heavy	high	17.2
heavy	low	17.2
heavy	high	15.8
heavy	low	16.7
heavy	high	18.7
heavy	high	15.1
heavy	high	13.2
heavy	high	13.4
heavy	high	11.2
heavy	high	13.7
light	low	16.5
light	low	14.2
light	low	14.7
light	low	14.5
light	low	14.8
light	high	16.7
heavy	low	17.6
light	low	14.9
heavy	high	15.9
heavy	high	13.6
light	high	15.7
heavy	high	15.8
light	low	14.9
light	low	16.6
heavy	high	15.4
heavy	low	18.2
heavy	low	17.3
heavy	low	18.2
heavy	high	16.6
heavy	high	15.4
heavy	high	13.4
heavy	high	13.2
heavy	high	15.2
heavy	high	14.9
heavy	high	14.3
heavy	high	15
heavy	high	13
light	low	14
light	low	15.2
light	low	14.4
light	low	15
heavy	low	20.1
heavy	high	17.4
heavy	low	24.8
heavy	low	22.2
light	low	13.2
light	low	14.9
light	low	19.2
light	low	14.7
light	low	16
light	high	11.3
light	high	12.9
light	low	13.2
light	low	14.7
light	low	18.8
light	low	15.5
light	low	16.4
light	low	16.5
heavy	low	18.1
heavy	low	20.1
heavy	low	18.7
light	low	15.8
light	low	15.5
light	low	17.5
light	low	15
light	low	15.2
light	low	17.9
light	high	14.4
light	low	19.2
light	low	21.7
light	low	23.7
heavy	low	19.9
heavy	low	21.8
light	low	13.8
light	low	18
light	low	15.3
heavy	high	11.4
light	high	12.5
light	low	15.1
light	low	17
light	low	15.7
light	low	16.4
light	low	14.4
light	high	12.6
light	low	12.9
light	low	16.9
light	low	16.4
light	low	16.1
light	low	17.8
light	low	19.4
light	low	17.3
light	low	16
light	low	14.9
light	low	16.2
light	low	20.7
light	low	14.2
light	low	14.4
light	low	16.8
light	high	14.8
light	low	18.3
heavy	low	20.4
heavy	low	19.6
heavy	high	12.6
heavy	high	13.8
heavy	high	15.8
heavy	high	19
heavy	low	17.1
heavy	low	16.6
light	low	19.6
light	low	18.6
light	low	18
light	low	16.2
light	low	16
light	low	18
heavy	low	16.4
light	low	15.3
light	low	18.2
light	low	17.6
light	low	14.7
light	low	17.3
light	low	14.5
light	low	14.5
light	low	16.9
light	low	15
light	low	15.7
light	low	16.2
heavy	high	16.4
heavy	low	17
light	low	14.5
heavy	high	14.7
light	low	13.9
light	low	13
heavy	low	17.3
light	low	15.6
light	low	24.6
light	low	11.6
light	low	18.6
light	low	19.4
