ParticipantID	HurricaneName	Rating	HurricaneGender	HurricaneAge
1	Arthur	3.5	male	old
1	Bertha	4	female	old
1	Cristobal	4	male	young
1	Dolly	4.5	female	old
1	Fay	7	female	old
1	Omar	4	male	young
1	Kyle	1	male	young
1	Laura	6	female	old
1	Hanna	6	female	young
1	Marco	3	male	young
2	Arthur	2.5	male	old
2	Bertha	3.5	female	old
2	Cristobal	2.5	male	young
2	Dolly	7	female	old
2	Fay	6	female	old
2	Omar	2.5	male	young
2	Kyle	1	male	young
2	Laura	4	female	old
2	Hanna	1.5	female	young
2	Marco	3	male	young
3	Arthur	2	male	old
3	Bertha	7	female	old
3	Cristobal	4.5	male	young
3	Dolly	6.5	female	old
3	Fay	4.5	female	old
3	Omar	4.5	male	young
3	Kyle	4	male	young
3	Laura	5.5	female	old
3	Hanna	5.5	female	young
3	Marco	2.5	male	young
4	Arthur	4	male	old
4	Bertha	5.5	female	old
4	Cristobal	3	male	young
4	Dolly	5.5	female	old
4	Fay	6	female	old
4	Omar	5	male	young
4	Kyle	1.5	male	young
4	Laura	3	female	old
4	Hanna	6	female	young
4	Marco	3	male	young
5	Arthur	3.5	male	old
5	Bertha	6	female	old
5	Cristobal	3.5	male	young
5	Dolly	5	female	old
5	Fay	4.5	female	old
5	Omar	2	male	young
5	Kyle	1.5	male	young
5	Laura	2	female	old
5	Hanna	7	female	young
5	Marco	4.5	male	young
6	Arthur	5	male	old
6	Bertha	4	female	old
6	Cristobal	1	male	young
6	Dolly	6	female	old
6	Fay	5	female	old
6	Omar	4	male	young
6	Kyle	3	male	young
6	Laura	3	female	old
6	Hanna	7	female	young
6	Marco	2	male	young
7	Arthur	2.5	male	old
7	Bertha	7	female	old
7	Cristobal	3	male	young
7	Dolly	1	female	old
7	Fay	4.5	female	old
7	Omar	3.5	male	young
7	Kyle	1.5	male	young
7	Laura	2.5	female	old
7	Hanna	5.5	female	young
7	Marco	1	male	young
8	Arthur	1	male	old
8	Bertha	6	female	old
8	Cristobal	5	male	young
8	Dolly	7	female	old
8	Fay	7	female	old
8	Omar	3	male	young
8	Kyle	5	male	young
8	Laura	2	female	old
8	Hanna	4	female	young
8	Marco	3	male	young
9	Arthur	5	male	old
9	Bertha	4.5	female	old
9	Cristobal	5	male	young
9	Dolly	4	female	old
9	Fay	4	female	old
9	Omar	2	male	young
9	Kyle	2	male	young
9	Laura	5	female	old
9	Hanna	7	female	young
9	Marco	2	male	young
10	Arthur	5	male	old
10	Bertha	7	female	old
10	Cristobal	5	male	young
10	Dolly	6	female	old
10	Fay	7	female	old
10	Omar	5	male	young
10	Kyle	4	male	young
10	Laura	6	female	old
10	Hanna	6	female	young
10	Marco	5	male	young
11	Arthur	4	male	old
11	Bertha	4	female	old
11	Cristobal	4	male	young
11	Dolly	3	female	old
11	Fay	6	female	old
11	Omar	2	male	young
11	Kyle	1	male	young
11	Laura	5	female	old
11	Hanna	4	female	young
11	Marco	3	male	young
12	Arthur	4	male	old
12	Bertha	7	female	old
12	Cristobal	3	male	young
12	Dolly	7	female	old
12	Fay	6	female	old
12	Omar	5	male	young
12	Kyle	2	male	young
12	Laura	5	female	old
12	Hanna	1	female	young
12	Marco	4	male	young
13	Arthur	4	male	old
13	Bertha	6	female	old
13	Cristobal	3	male	young
13	Dolly	4	female	old
13	Fay	5	female	old
13	Omar	3	male	young
13	Kyle	3	male	young
13	Laura	5	female	old
13	Hanna	5	female	young
13	Marco	4	male	young
14	Arthur	3.5	male	old
14	Bertha	5	female	old
14	Cristobal	1.5	male	young
14	Dolly	7	female	old
14	Fay	3.5	female	old
14	Omar	4.5	male	young
14	Kyle	2.5	male	young
14	Laura	6	female	old
14	Hanna	3.5	female	young
14	Marco	3.5	male	young
15	Arthur	2.5	male	old
15	Bertha	7	female	old
15	Cristobal	4	male	young
15	Dolly	5.5	female	old
15	Fay	1	female	old
15	Omar	4	male	young
15	Kyle	4.5	male	young
15	Laura	6.5	female	old
15	Hanna	4	female	young
15	Marco	3	male	young
16	Arthur	5	male	old
16	Bertha	7	female	old
16	Cristobal	5	male	young
16	Dolly	6	female	old
16	Fay	4	female	old
16	Omar	3	male	young
16	Kyle	6	male	young
16	Laura	6	female	old
16	Hanna	7	female	young
16	Marco	4	male	young
17	Arthur	5	male	old
17	Bertha	5	female	old
17	Cristobal	4	male	young
17	Dolly	7	female	old
17	Fay	3	female	old
17	Omar	6	male	young
17	Kyle	2	male	young
17	Laura	4	female	old
17	Hanna	6	female	young
17	Marco	1	male	young
18	Arthur	3	male	old
18	Bertha	6	female	old
18	Cristobal	4	male	young
18	Dolly	2	female	old
18	Fay	5	female	old
18	Omar	4	male	young
18	Kyle	2	male	young
18	Laura	4	female	old
18	Hanna	7	female	young
18	Marco	4.5	male	young
19	Arthur	2.5	male	old
19	Bertha	5	female	old
19	Cristobal	5.5	male	young
19	Dolly	5.5	female	old
19	Fay	3.5	female	old
19	Omar	4	male	young
19	Kyle	5.5	male	young
19	Laura	4.5	female	old
19	Hanna	6.5	female	young
19	Marco	1.5	male	young
20	Arthur	4	male	old
20	Bertha	5	female	old
20	Cristobal	3	male	young
20	Dolly	6	female	old
20	Fay	4	female	old
20	Omar	4	male	young
20	Kyle	3	male	young
20	Laura	6	female	old
20	Hanna	5	female	young
20	Marco	6	male	young
21	Arthur	2.5	male	old
21	Bertha	6.5	female	old
21	Cristobal	3	male	young
21	Dolly	4.5	female	old
21	Fay	5.5	female	old
21	Omar	2	male	young
21	Kyle	6.5	male	young
21	Laura	5	female	old
21	Hanna	4.5	female	young
21	Marco	5.5	male	young
22	Arthur	3	male	old
22	Bertha	6	female	old
22	Cristobal	2	male	young
22	Dolly	2	female	old
22	Fay	6	female	old
22	Omar	5	male	young
22	Kyle	3	male	young
22	Laura	7	female	old
22	Hanna	4	female	young
22	Marco	5	male	young
23	Arthur	2.5	male	old
23	Bertha	3.5	female	old
23	Cristobal	3	male	young
23	Dolly	4	female	old
23	Fay	2	female	old
23	Omar	4	male	young
23	Kyle	2.5	male	young
23	Laura	4.5	female	old
23	Hanna	6	female	young
23	Marco	3	male	young
24	Arthur	4.5	male	old
24	Bertha	5	female	old
24	Cristobal	2	male	young
24	Dolly	3.5	female	old
24	Fay	5	female	old
24	Omar	4	male	young
24	Kyle	3.5	male	young
24	Laura	4	female	old
24	Hanna	5	female	young
24	Marco	2.5	male	young
25	Arthur	1	male	old
25	Bertha	5	female	old
25	Cristobal	6	male	young
25	Dolly	6	female	old
25	Fay	5	female	old
25	Omar	3	male	young
25	Kyle	3	male	young
25	Laura	4	female	old
25	Hanna	4	female	young
25	Marco	5	male	young
26	Arthur	4.5	male	old
26	Bertha	3.5	female	old
26	Cristobal	1	male	young
26	Dolly	3.5	female	old
26	Fay	5	female	old
26	Omar	3	male	young
26	Kyle	1.5	male	young
26	Laura	3	female	old
26	Hanna	6.5	female	young
26	Marco	4.5	male	young
27	Arthur	4	male	old
27	Bertha	4	female	old
27	Cristobal	5	male	young
27	Dolly	3	female	old
27	Fay	5.5	female	old
27	Omar	2	male	young
27	Kyle	5.5	male	young
27	Laura	6	female	old
27	Hanna	6.5	female	young
27	Marco	5	male	young
28	Arthur	3	male	old
28	Bertha	5	female	old
28	Cristobal	6	male	young
28	Dolly	3	female	old
28	Fay	3	female	old
28	Omar	2	male	young
28	Kyle	1	male	young
28	Laura	4	female	old
28	Hanna	4	female	young
28	Marco	2	male	young
29	Arthur	3	male	old
29	Bertha	5	female	old
29	Cristobal	4	male	young
29	Dolly	6	female	old
29	Fay	5	female	old
29	Omar	4	male	young
29	Kyle	3	male	young
29	Laura	1	female	old
29	Hanna	4	female	young
29	Marco	2	male	young
30	Arthur	2.5	male	old
30	Bertha	4.5	female	old
30	Cristobal	4.5	male	young
30	Dolly	6.5	female	old
