Temperature	AirVelocity	Peroxide(%remaining)	std.temp	std.air	std.peroxide
60	1.5	5.9	-1.211060142	-1.211060142	2.221098617
60	1.5	6.27	-1.211060142	-1.211060142	2.511512407
60	1.5	4.66	-1.211060142	-1.211060142	1.247819971
60	2.5	2.09	-1.211060142	1.211060142	-0.769378514
60	2.5	3.75	-1.211060142	1.211060142	0.533559029
60	2.5	2.64	-1.211060142	1.211060142	-0.33768234
60	2	3.2	-1.211060142	0	0.101862855
60	2	4.34	-1.211060142	0	0.996651288
60	2	3.18	-1.211060142	0	0.086164812
75	1.5	3.53	0	-1.211060142	0.360880559
75	1.5	4.61	0	-1.211060142	1.208574864
75	1.5	2.01	0	-1.211060142	-0.832170685
75	2.5	3.2	0	1.211060142	0.101862855
75	2.5	2.5	0	1.211060142	-0.447568639
75	2.5	1.9	0	1.211060142	-0.91850992
75	2	2.65	0	0	-0.329833319
75	2	2.99	0	0	-0.062966593
75	2	4.24	0	0	0.918161074
90	1.5	1.25	1.211060142	-1.211060142	-1.428696307
90	1.5	1.05	1.211060142	-1.211060142	-1.585676734
90	1.5	1.41	1.211060142	-1.211060142	-1.303111965
90	2.5	1.78	1.211060142	1.211060142	-1.012698176
90	2.5	3.68	1.211060142	1.211060142	0.478615879
90	2.5	1.39	1.211060142	1.211060142	-1.318810008
90	2	1.98	1.211060142	0	-0.855717749
90	2	2.83	1.211060142	0	-0.188550935
90	2	1.7	1.211060142	0	-1.075490347
60	1.5	6	-1.211060142	-1.211060142	2.29958883
60	1.5	4.7	-1.211060142	-1.211060142	1.279216056
60	2.5	2.8	-1.211060142	1.211060142	-0.212097999
60	2.5	3.4	-1.211060142	1.211060142	0.258843282
60	2	3.7	-1.211060142	0	0.494313922
60	2	4.13	-1.211060142	0	0.83182184
75	1.5	3.7	0	-1.211060142	0.494313922
75	1.5	4	0	-1.211060142	0.729784562
75	2.5	2.3	0	1.211060142	-0.604549066
75	2.5	2.1	0	1.211060142	-0.761529493
75	2	3.6	0	0	0.415823708
75	2	4	0	0	0.729784562
90	1.5	2	1.211060142	-1.211060142	-0.840019706
90	1.5	2.4	1.211060142	-1.211060142	-0.526058853
90	2.5	2.2	1.211060142	1.211060142	-0.683039279
90	2.5	2.4	1.211060142	1.211060142	-0.526058853
90	2	1.6	1.211060142	0	-1.15398056
90	2	2.4	1.211060142	0	-0.526058853
